"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"H2.AB1" 1.5876815112605e-06 0.423548929453331 0.194 0.137 0.030961377151091 "1" "H2.AB1"
"TRIP11" 1.64685657753128e-06 0.202401688520669 0.262 0.296 0.0321153501184374 "1" "TRIP11"
"CNOT2" 1.7100237955408e-06 0.287985513316837 0.133 0.098 0.0333471740368411 "1" "CNOT2"
"FCHO2" 1.85398606560811e-06 0.311181243299739 0.281 0.253 0.0361545822654237 "1" "FCHO2"
"HIVEP3" 1.85534236356543e-06 0.272355830619073 0.137 0.087 0.0361810314318895 "1" "HIVEP3"
"BRD1" 1.90011203821695e-06 0.275393799293844 0.11 0.076 0.0370540848572688 "1" "BRD1"
"ZCCHC7" 1.98891135861806e-06 0.35145568215578 0.191 0.168 0.0387857604044107 "1" "ZCCHC7"
"TLN2" 2.02098027079735e-06 0.1883530524148 0.107 0.061 0.0394111362608191 "1" "TLN2"
"CEP68" 2.04971796419246e-06 0.449382836015635 0.106 0.075 0.0399715500197171 "1" "CEP68"
"PRPF40A" 2.06758568691097e-06 0.16644074741781 0.333 0.351 0.0403199884804508 "1" "PRPF40A"
"GOLGA4" 2.16971977644123e-06 0.197144310302933 0.307 0.329 0.0423117053603805 "1" "GOLGA4"
"TCN2" 2.18721009020387e-06 0.196024595416725 0.179 0.131 0.0426527839690658 "1" "TCN2"
"WIPF1" 2.29245451507845e-06 0.264683729546412 0.16 0.125 0.0447051554985449 "1" "WIPF1"
"OCIAD1" 2.36310269797396e-06 0.173533130982146 0.263 0.289 0.0460828657131903 "1" "OCIAD1"
"MED13L" 2.37977212415241e-06 0.231135832169593 0.115 0.074 0.0464079361930961 "1" "MED13L"
"RHOG" 2.41985535531635e-06 0.275268578778333 0.144 0.107 0.0471895992840241 "1" "RHOG"
"CEP170" 2.42894494153252e-06 0.272199547837094 0.189 0.15 0.0473668553048256 "1" "CEP170"
"MSL2" 2.43711130154571e-06 0.25015860261501 0.118 0.084 0.0475261074914429 "1" "MSL2"
"HNRNPUL2" 2.442106835373e-06 0.307127202661819 0.193 0.176 0.0476235253966089 "1" "HNRNPUL2"
"ATRX" 2.52031156938374e-06 0.159124626066796 0.546 0.593 0.0491485959145522 "1" "ATRX"
"KAT6A" 2.557460278563e-06 0.296063968909887 0.189 0.173 0.049873032892257 "1" "KAT6A"
"CTLA2A" 5.39910757608084e-281 2.78732962341283 0.921 0.057 1.05287996841153e-276 "2" "CTLA2A"
"CLDN5" 1.62458595647587e-255 2.16519849101812 0.965 0.088 3.16810507372359e-251 "2" "CLDN5"
"TMSB10" 8.94153211049697e-237 2.17853216950229 0.931 0.3 1.74368817686801e-232 "2" "TMSB10"
"IGFBP7" 2.70512093190209e-225 2.25945080139386 0.975 0.172 5.27525632930226e-221 "2" "IGFBP7"
"PALMD" 6.58116014462339e-210 2.00717381087901 0.849 0.072 1.28339203980301e-205 "2" "PALMD"
"EGFL7" 3.03472181809029e-199 1.94618945287137 0.821 0.066 5.91801101745787e-195 "2" "EGFL7"
"RFLNB" 2.62548973320702e-198 2.00837041864013 0.745 0.044 5.119967528727e-194 "2" "RFLNB"
"ITM2A" 1.18505785594009e-193 1.83387398104376 0.877 0.094 2.31098132486876e-189 "2" "ITM2A"
"ADGRL4" 4.39054758127387e-188 2.008179652327 0.717 0.041 8.56200683824218e-184 "2" "ADGRL4"
"GIMAP4" 2.36506756503943e-175 1.70067948086195 0.645 0.025 4.61211825858339e-171 "2" "GIMAP4"
"KDR" 2.98167048372039e-175 1.84316710681877 0.726 0.053 5.81455561030314e-171 "2" "KDR"
"CD93" 3.40455402957277e-169 1.86970600508172 0.664 0.036 6.63922081306986e-165 "2" "CD93"
"RAMP2" 3.27470866010426e-168 1.87154249943109 0.77 0.082 6.38600935806933e-164 "2" "RAMP2"
"PECAM1" 4.26711873230692e-163 1.59047504583663 0.717 0.053 8.32130823987173e-159 "2" "PECAM1"
"CALM1" 3.18389126468231e-159 1.29916119081255 0.997 0.698 6.20890635525697e-155 "2" "CALM1"
"ADGRF5" 1.5845876402912e-157 1.53837399055881 0.748 0.07 3.09010435733188e-153 "2" "ADGRF5"
"GNG11" 8.52979367950032e-157 1.65419323860563 0.871 0.146 1.66339506543936e-152 "2" "GNG11"
"COL4A1" 1.3487786530564e-151 1.62931905378881 0.802 0.102 2.63025325132529e-147 "2" "COL4A1"
"SPARC1" 1.21983952294254e-148 1.32028146030968 0.997 0.656 2.37880905369025e-144 "2" "SPARC"
"ESAM" 2.74325652232515e-143 1.67730663807799 0.714 0.079 5.34962454418628e-139 "2" "ESAM"
"ETS1" 6.00323249829351e-140 1.59550247006829 0.717 0.083 1.17069036949222e-135 "2" "ETS1"
"FLT1" 1.03693551308068e-139 1.46095184451386 0.899 0.198 2.02212794405863e-135 "2" "FLT1"
"PGLYRP1" 7.90091861726838e-139 1.7608058856893 0.591 0.036 1.54075813955351e-134 "2" "PGLYRP1"
"SLC38A5" 7.02630118932095e-135 1.66815854287696 0.547 0.026 1.37019899492948e-130 "2" "SLC38A5"
"PTPRB" 7.82337624159169e-133 1.39397544725163 0.682 0.07 1.5256366008728e-128 "2" "PTPRB"
"SPOCK2" 3.24189412443513e-132 1.77017183839796 0.714 0.097 6.32201773206095e-128 "2" "SPOCK2"
"AU021092" 1.80843219517155e-128 1.47674935116014 0.497 0.018 3.52662362380403e-124 "2" "AU021092"
"NOSTRIN" 1.18803101624386e-127 1.52246753132006 0.654 0.066 2.31677928477716e-123 "2" "NOSTRIN"
"SCGB3A1" 2.0992358243433e-125 2.05370559237712 0.469 0.015 4.09371978105187e-121 "2" "SCGB3A1"
"COL4A2" 9.83837740790385e-123 1.6301650100758 0.726 0.103 1.91858197831533e-118 "2" "COL4A2"
"RHOJ" 4.66981291021178e-119 1.49648620360609 0.619 0.064 9.10660215620399e-115 "2" "RHOJ"
"NES" 6.44654969218266e-119 1.5717258776624 0.767 0.136 1.25714165547254e-114 "2" "NES"
"SLC16A1" 5.77546814567344e-118 1.77637985608785 0.629 0.082 1.12627404308778e-113 "2" "SLC16A1"
"CSRP2" 2.35655745100769e-117 1.47822523500175 0.601 0.06 4.5955226852101e-113 "2" "CSRP2"
"SLC39A10" 3.41558281081615e-116 1.38843935765422 0.783 0.168 6.66072803937256e-112 "2" "SLC39A10"
"LY6C1" 4.66917537412676e-115 0.992042351038294 0.664 0.091 9.1053588970846e-111 "2" "LY6C1"
"ECSCR" 5.0592593493475e-112 1.44056873293204 0.588 0.059 9.86606165716256e-108 "2" "ECSCR"
"ARHGAP29" 1.53407044153599e-110 1.47087125990681 0.651 0.086 2.99159076803934e-106 "2" "ARHGAP29"
"WWTR1" 4.76373536943136e-110 1.37371495801798 0.585 0.059 9.28976034392809e-106 "2" "WWTR1"
"MYH10" 4.86906990869883e-110 1.39640937798879 0.689 0.109 9.49517322895358e-106 "2" "MYH10"
"FOXQ1" 1.27234575746246e-109 1.28300524974473 0.522 0.037 2.48120146162754e-105 "2" "FOXQ1"
"MYO1B" 4.04408697146406e-109 1.4166980165814 0.676 0.098 7.88637400305206e-105 "2" "MYO1B"
"TPM4" 4.55891057315764e-108 1.40767803043673 0.824 0.22 8.89033150871471e-104 "2" "TPM4"
"FKBP1A" 3.0852370777788e-106 1.4138602535163 0.717 0.167 6.01652082537644e-102 "2" "FKBP1A"
"ECE1" 2.59629781707055e-105 1.28426876609043 0.682 0.108 5.06304037306928e-101 "2" "ECE1"
"NAMPT" 1.39265443793137e-103 1.46649010128477 0.676 0.113 2.71581541940996e-99 "2" "NAMPT"
"ERG" 4.25144156700003e-101 1.21561122178583 0.497 0.036 8.29073619980676e-97 "2" "ERG"
"RGCC" 5.39223297876409e-101 1.54273001826327 0.613 0.097 1.05153935318878e-96 "2" "RGCC"
"BSG" 4.41497697558808e-100 1.41646362785493 0.912 0.36 8.60964660009432e-96 "2" "BSG"
"BC028528" 1.20962303487218e-99 1.32585630826289 0.704 0.139 2.35888588030423e-95 "2" "BC028528"
"GM6472" 1.27660485506097e-99 1.30578539768447 0.849 0.324 2.48950712785439e-95 "2" "GM6472"
"PLTP" 4.48520079443798e-99 1.29989696338723 0.701 0.121 8.74659006923351e-95 "2" "PLTP"
"CAR4" 4.53246942934141e-98 1.82470147596755 0.494 0.041 8.83876863415869e-94 "2" "CAR4"
"LAMA4" 1.04474321162864e-97 1.49788362047521 0.55 0.063 2.03735373699701e-93 "2" "LAMA4"
"MYL12A" 5.1908062519661e-97 1.31235247094475 0.833 0.253 1.01225912719591e-92 "2" "MYL12A"
"ATOX1" 8.70279680208226e-97 1.24692245105586 0.874 0.345 1.69713240437406e-92 "2" "ATOX1"
"USHBP1" 3.51075455443179e-96 1.04293054469243 0.475 0.035 6.84632245659744e-92 "2" "USHBP1"
"DOK4" 4.09085635422157e-96 1.15973829264223 0.39 0.015 7.97757897636749e-92 "2" "DOK4"
"SLC7A1" 9.28569747289242e-94 1.40982824472057 0.547 0.067 1.81080386418875e-89 "2" "SLC7A1"
"TSC22D1" 4.56880900044918e-92 1.27442152916891 0.726 0.169 8.90963443177594e-88 "2" "TSC22D1"
"TMEM252" 1.95233934100309e-91 1.05384101700813 0.406 0.02 3.80725694889013e-87 "2" "TMEM252"
"SLC40A1" 3.19961762169853e-90 1.32348034335186 0.569 0.074 6.2395743240743e-86 "2" "SLC40A1"
"KITL" 6.07425518266403e-90 1.22161534810389 0.616 0.093 1.18454050317131e-85 "2" "KITL"
"SLC39A8" 1.13645693624539e-87 1.12550150220737 0.437 0.03 2.21620467137214e-83 "2" "SLC39A8"
"ABCB1A" 2.80042444596503e-86 0.792440043393449 0.566 0.089 5.46110771207641e-82 "2" "ABCB1A"
"ABLIM1" 3.45366108614549e-86 1.10340693142791 0.607 0.094 6.73498448409231e-82 "2" "ABLIM1"
"TSPAN13" 4.05782770294899e-85 1.22028231812432 0.701 0.169 7.91316980352082e-81 "2" "TSPAN13"
"C130074G19RIK" 4.26514043314738e-85 1.09615709640655 0.465 0.042 8.31745035868071e-81 "2" "C130074G19RIK"
"EMCN" 2.45227265633483e-84 1.19064624243495 0.447 0.037 4.78217690711856e-80 "2" "EMCN"
"UACA" 1.80462731461283e-83 0.991718922689626 0.626 0.108 3.51920372622647e-79 "2" "UACA"
"RPL38.PS2" 4.53747693654355e-82 1.32689115714112 0.726 0.217 8.84853377395357e-78 "2" "RPL38.PS2"
"HMCN1" 2.39782916339712e-81 0.964565204396112 0.349 0.014 4.67600665154072e-77 "2" "HMCN1"
"CDH5" 2.18785241997745e-80 1.00344447400599 0.428 0.034 4.26653100419803e-76 "2" "CDH5"
"APLN" 2.57310567806934e-80 1.52422639464943 0.409 0.032 5.01781338280302e-76 "2" "APLN"
"SERPINH1" 9.84177291092545e-80 1.20015357102952 0.557 0.081 1.91924413535957e-75 "2" "SERPINH1"
"BAMBI" 5.73701146289425e-79 0.984276674292388 0.377 0.023 1.11877460537901e-74 "2" "BAMBI"
"ENG" 1.20111743006046e-78 1.06014377735674 0.5 0.06 2.3422991003609e-74 "2" "ENG"
"GM10080" 2.1563130722431e-78 1.31544650446113 0.686 0.175 4.20502612218126e-74 "2" "GM10080"
"RHOC" 1.83020594205256e-77 1.19983443383134 0.585 0.109 3.5690846075967e-73 "2" "RHOC"
"PPIC" 3.293109650265e-77 1.09974366351399 0.453 0.047 6.42189312898177e-73 "2" "PPIC"
"CD34" 6.1300811769139e-77 1.21029971559139 0.708 0.204 1.19542713030998e-72 "2" "CD34"
"SHFM1" 1.52379182067952e-76 1.09991451670631 0.84 0.347 2.97154642950714e-72 "2" "SHFM1"
"NID1" 4.81958712861069e-76 1.12768995777382 0.462 0.05 9.39867685950371e-72 "2" "NID1"
"GRAP" 1.6054330954648e-75 1.06885072959954 0.569 0.092 3.1307550794659e-71 "2" "GRAP"
"SLC16A4" 2.03927775831135e-75 1.04809665027946 0.352 0.019 3.97679555648297e-71 "2" "SLC16A4"
"TIAM1" 2.42501097675029e-75 1.05263578885942 0.374 0.024 4.72901390576074e-71 "2" "TIAM1"
"FAM129A" 3.77535061744667e-75 1.11168964485678 0.387 0.029 7.36231123908275e-71 "2" "FAM129A"
"SLCO1A4" 1.20584964395958e-74 1.11846183270474 0.516 0.076 2.35152739068558e-70 "2" "SLCO1A4"
"CDC42EP3" 1.76714176088107e-74 1.26300654646852 0.443 0.05 3.44610314789418e-70 "2" "CDC42EP3"
"LY6A" 4.60696796380527e-73 0.948302352525289 0.594 0.113 8.98404822621665e-69 "2" "LY6A"
"SELENOM" 1.44047574382481e-72 1.24009616831879 0.538 0.097 2.80907174803276e-68 "2" "SELENOM"
"RASIP1" 1.52285826244814e-72 0.980774876424477 0.362 0.023 2.96972589760011e-68 "2" "RASIP1"
"SPTBN1" 6.93577256979511e-72 1.04429025036978 0.852 0.343 1.35254500883574e-67 "2" "SPTBN1"
"VWA1" 3.04814313474599e-71 0.872674152502962 0.689 0.192 5.94418392706815e-67 "2" "VWA1"
"LRP8" 3.83533379505685e-71 1.04481876228305 0.465 0.056 7.47928443374037e-67 "2" "LRP8"
"PPFIBP1" 4.07120645927679e-71 1.12225661741233 0.676 0.173 7.93925971623568e-67 "2" "PPFIBP1"
"ICAM2" 4.50570611879618e-71 0.970652206093973 0.368 0.026 8.78657750226443e-67 "2" "ICAM2"
"GM7809" 1.17004209365094e-70 1.20763608758993 0.572 0.109 2.28169908682869e-66 "2" "GM7809"
"ARHGAP18" 1.20272258075366e-69 1.08402146408163 0.45 0.053 2.34542930472771e-65 "2" "ARHGAP18"
"CGNL1" 1.52635525386599e-69 1.06610258911374 0.453 0.053 2.97654538056407e-65 "2" "CGNL1"
"ABCG2" 1.59293481178333e-69 0.946403377297198 0.579 0.108 3.10638217645867e-65 "2" "ABCG2"
"ANXA2" 2.0041405165343e-69 1.24225880925911 0.544 0.104 3.90827442129354e-65 "2" "ANXA2"
"APP" 2.97856584063593e-69 0.951885491114048 0.918 0.443 5.80850124582413e-65 "2" "APP"
"TMSB4X1" 1.16647942779578e-68 0.844497034012814 1 0.752 2.27475153214455e-64 "2" "TMSB4X"
"LAMB1" 2.25221932895693e-68 1.16034939203156 0.44 0.052 4.39205291339891e-64 "2" "LAMB1"
"DYNLL1" 9.00887879584192e-68 1.03857065350095 0.808 0.309 1.75682145397713e-63 "2" "DYNLL1"
"TMEM204" 3.00247277692559e-66 1.07794383319483 0.365 0.03 5.85512216228259e-62 "2" "TMEM204"
"CCDC85B" 6.4555171207144e-66 1.0135615437438 0.437 0.055 1.25889039371051e-61 "2" "CCDC85B"
"LSR" 4.18574825079918e-65 0.987474925489879 0.368 0.031 8.16262766388349e-61 "2" "LSR"
"SLC7A5" 1.75388740364045e-64 1.1366080934041 0.387 0.04 3.42025582583924e-60 "2" "SLC7A5"
"LEF1" 8.26477067638181e-64 1.01786543374519 0.409 0.046 1.61171292960122e-59 "2" "LEF1"
"AFAP1L1" 1.57901280505714e-63 0.954713538583014 0.399 0.043 3.07923287114193e-59 "2" "AFAP1L1"
"MYL12B" 1.69574847637177e-63 1.02109326768144 0.814 0.317 3.30687910377259e-59 "2" "MYL12B"
"GM9794" 3.05494791410062e-63 1.06973549630194 0.836 0.341 5.95745392728762e-59 "2" "GM9794"
"SEPT4" 3.07936405125891e-63 1.0675498481142 0.538 0.098 6.00506783636001e-59 "2" "SEPT4"
"IFITM3" 3.44751323566679e-63 1.06338230051659 0.808 0.279 6.7229955608738e-59 "2" "IFITM3"
"GM4617" 6.87431459644923e-63 1.10768198704251 0.786 0.283 1.34056008945356e-58 "2" "GM4617"
"GIMAP6" 8.82151512505491e-63 0.813251915172946 0.305 0.017 1.72028366453696e-58 "2" "GIMAP6"
"FXYD5" 1.0428722184038e-62 1.02116788575078 0.607 0.142 2.03370511310924e-58 "2" "FXYD5"
"DAB2" 5.11780806603085e-62 1.10373534206405 0.588 0.128 9.98023750956676e-58 "2" "DAB2"
"SLCO1C1" 6.42726517857927e-62 0.774933447030506 0.786 0.294 1.25338098247474e-57 "2" "SLCO1C1"
"TRP53I11" 9.60712449146114e-62 0.985588849400784 0.314 0.02 1.87348534707984e-57 "2" "TRP53I11"
"9430020K01RIK" 1.09001684667569e-61 0.986868087744574 0.421 0.055 2.12564185270226e-57 "2" "9430020K01RIK"
"KANK3" 2.1556687900134e-61 0.935871828266738 0.355 0.031 4.20376970740514e-57 "2" "KANK3"
"ZIC3" 9.67844137628099e-61 0.968858378393557 0.314 0.021 1.88739285278856e-56 "2" "ZIC3"
"RPL14.PS1" 1.01338196926088e-60 1.08229568701584 0.846 0.349 1.97619617825564e-56 "2" "RPL14.PS1"
"MFSD2A" 1.7459296361512e-60 0.982741734779826 0.459 0.071 3.40473738345845e-56 "2" "MFSD2A"
"GM8894" 3.34863825567531e-60 1.13459596421336 0.497 0.089 6.53017946239242e-56 "2" "GM8894"
"ROBO4" 5.28340293577474e-60 0.760294660967014 0.277 0.013 1.03031640650543e-55 "2" "ROBO4"
"ITGB1" 6.0724635579055e-59 0.917472728574234 0.877 0.443 1.18419111842715e-54 "2" "ITGB1"
"GM10250" 5.36914040670264e-58 1.06620014342739 0.726 0.259 1.04703607071108e-53 "2" "GM10250"
"MYCT1" 5.99331833125568e-58 0.758932989925809 0.261 0.011 1.16875700777817e-53 "2" "MYCT1"
"SMTN" 9.18719765269692e-58 0.789059129851987 0.318 0.024 1.79159541425243e-53 "2" "SMTN"
"MEOX1" 1.0199877688163e-57 0.853612095052144 0.343 0.032 1.98907814796866e-53 "2" "MEOX1"
"RELL1" 3.70336283263156e-57 1.04238980286184 0.497 0.095 7.2219278599148e-53 "2" "RELL1"
"GNB4" 1.33924706069996e-56 0.994060528250872 0.478 0.083 2.61166569307099e-52 "2" "GNB4"
"CLEC1A" 1.47296480916262e-56 0.862982138119715 0.274 0.015 2.87242867434802e-52 "2" "CLEC1A"
"GM9844" 2.83560380756624e-56 0.83629137071972 0.318 0.026 5.52971098513492e-52 "2" "GM9844"
"CLEC14A" 3.65546887092537e-56 0.930290863419966 0.33 0.029 7.12852984519157e-52 "2" "CLEC14A"
"EVA1B" 4.31087923776837e-56 0.921402171043829 0.396 0.05 8.40664560157209e-52 "2" "EVA1B"
"PLXND1" 8.55269174262307e-56 0.85315340489832 0.302 0.022 1.66786041672893e-51 "2" "PLXND1"
"TPT1.PS3" 1.02931650315167e-55 1.04371785783005 0.708 0.225 2.00727011279606e-51 "2" "TPT1.PS3"
"AFDN" 1.15185919913874e-55 1.00786831623663 0.431 0.066 2.24624062424046e-51 "2" "AFDN"
"LY75" 1.48084761633132e-55 0.866037158466072 0.242 0.009 2.8878009366077e-51 "2" "LY75"
"TEK" 4.55262462394596e-55 0.86241171663499 0.358 0.04 8.87807327915702e-51 "2" "TEK"
"APOD1" 5.05959427599113e-55 0.366728348060873 0.421 0.065 9.8667147976103e-51 "2" "APOD"
"ITGA4" 6.13341152187567e-55 0.962179239769012 0.358 0.039 1.19607658088097e-50 "2" "ITGA4"
"GM6977" 1.13340587035179e-54 1.230686828644 0.786 0.295 2.21025478777303e-50 "2" "GM6977"
"MPZL1" 1.39807368510435e-54 0.904795559138342 0.415 0.061 2.726383493322e-50 "2" "MPZL1"
"N4BP3" 2.40281164622922e-54 0.655476548254248 0.22 0.006 4.6857229913116e-50 "2" "N4BP3"
"DCBLD1" 3.15427291689482e-54 0.917630629518897 0.267 0.015 6.15114761523659e-50 "2" "DCBLD1"
"SYNM" 4.31739559171213e-54 0.999100241171777 0.371 0.044 8.41935314339783e-50 "2" "SYNM"
"APLNR" 7.87504059913732e-54 0.599065754221979 0.195 0.003 1.53571166723777e-49 "2" "APLNR"
"RBPMS" 3.18190773548259e-53 0.829053059751878 0.371 0.045 6.2050382749646e-49 "2" "RBPMS"
"RPS16.PS2" 3.42691121006227e-53 1.05498962307569 0.767 0.294 6.68281955074244e-49 "2" "RPS16.PS2"
"GRRP1" 3.92741035239486e-53 0.738530610882467 0.286 0.02 7.65884292820522e-49 "2" "GRRP1"
"CAR2" 1.00632317180498e-52 0.847302265837868 0.629 0.177 1.96243081733689e-48 "2" "CAR2"
"GIMAP9" 1.48910073207457e-52 0.683820155187514 0.261 0.014 2.90389533761862e-48 "2" "GIMAP9"
"LMO2" 1.6073824383917e-52 1.07607231292039 0.547 0.134 3.13455649310766e-48 "2" "LMO2"
"SH3BP5" 1.75168575163257e-52 0.934022232910704 0.425 0.069 3.41596238425868e-48 "2" "SH3BP5"
"TFRC" 3.21162797106961e-52 1.19483840446494 0.406 0.067 6.26299570638285e-48 "2" "TFRC"
"SMAD1" 4.86114091536837e-52 0.90272074410597 0.45 0.079 9.47971089905986e-48 "2" "SMAD1"
"GM14586" 7.12769536846822e-51 1.05622797640757 0.695 0.255 1.38997187380499e-46 "2" "GM14586"
"TDRP" 1.41337953866834e-50 0.863319496432809 0.245 0.013 2.75623143835714e-46 "2" "TDRP"
"SLC22A8" 1.91053063382229e-50 1.03198506725236 0.292 0.027 3.72572578901684e-46 "2" "SLC22A8"
"ARL4A" 9.58367876543389e-50 0.881742865012076 0.487 0.1 1.86891319604726e-45 "2" "ARL4A"
"ALAD" 3.33214357450832e-49 0.885971023619407 0.481 0.097 6.49801318464868e-45 "2" "ALAD"
"S100A11" 5.37481444694159e-49 0.902016946624091 0.481 0.097 1.04814256529808e-44 "2" "S100A11"
"GM5905" 6.07741401000649e-49 0.959577482088299 0.818 0.347 1.18515650609136e-44 "2" "GM5905"
"FLI1" 6.47119565534742e-49 0.836283831840174 0.5 0.108 1.2619478647493e-44 "2" "FLI1"
"ANGPT2" 1.59174537282637e-48 1.26041013356628 0.267 0.021 3.1040626515487e-44 "2" "ANGPT2"
"GM9385" 1.77734589143656e-48 0.97267819801933 0.767 0.308 3.46600222289044e-44 "2" "GM9385"
"FN1" 1.67478389819492e-47 0.941642390640807 0.626 0.181 3.26599607986992e-43 "2" "FN1"
"SLC9A3R2" 2.04430910622743e-47 0.750441612471173 0.377 0.057 3.98660718805411e-43 "2" "SLC9A3R2"
"TIE1" 4.92244625103176e-47 0.664056988979039 0.242 0.014 9.59926243413705e-43 "2" "TIE1"
"ID3" 5.05081848081504e-47 0.788483085497121 0.654 0.205 9.84960111943741e-43 "2" "ID3"
"RHBDL2" 1.49936576729209e-46 0.634288263143561 0.198 0.006 2.9239131827963e-42 "2" "RHBDL2"
"CTSW" 5.50753883575122e-46 0.591038509091892 0.176 0.003 1.07402514835985e-41 "2" "CTSW"
"IGFBP4" 1.3337554893078e-45 0.772550674879144 0.343 0.045 2.60095657969915e-41 "2" "IGFBP4"
"ABHD17A" 1.91902205384904e-45 0.835749793871647 0.412 0.074 3.74228490721101e-41 "2" "ABHD17A"
"SLC3A2" 2.58102208217128e-45 0.883875894119006 0.701 0.266 5.03325116244222e-41 "2" "SLC3A2"
"TPM1" 4.18212016236847e-45 0.691571612807611 0.714 0.255 8.15555252863476e-41 "2" "TPM1"
"NRP1" 4.65430352364687e-45 0.936130100120454 0.689 0.247 9.07635730146375e-41 "2" "NRP1"
"BVHT" 4.90248487249704e-45 0.622818783575281 0.258 0.019 9.56033574985647e-41 "2" "BVHT"
"RAPGEF4" 5.43683620326263e-45 0.752871738067765 0.302 0.032 1.06023742799825e-40 "2" "RAPGEF4"
"CDKN1A" 1.18290254980548e-44 1.09278899057654 0.531 0.136 2.30677826237567e-40 "2" "CDKN1A"
"2900026A02RIK" 1.41869288120997e-44 0.805223335352218 0.302 0.033 2.76659298764755e-40 "2" "2900026A02RIK"
"RAPH1" 2.53279383260715e-44 0.847943683805278 0.292 0.031 4.9392012529672e-40 "2" "RAPH1"
"CCDC141" 2.67704516487578e-44 0.823838495007537 0.55 0.156 5.22050577602425e-40 "2" "CCDC141"
"PTPRG" 2.95993973602373e-44 0.775389624734379 0.494 0.119 5.77217847921987e-40 "2" "PTPRG"
"GM9892" 4.65640023786902e-44 1.00706138699764 0.616 0.197 9.08044610386838e-40 "2" "GM9892"
"RPL38" 6.58181006367987e-44 0.843232913447595 0.679 0.259 1.28351878051821e-39 "2" "RPL38"
"RPS5" 7.53081079172543e-44 0.828902477696956 0.921 0.516 1.46858341249438e-39 "2" "RPS5"
"FTH1" 1.21264933667237e-43 0.853905192481684 0.987 0.633 2.36478747144479e-39 "2" "FTH1"
"CAV1" 2.97951649457639e-43 0.862152723917676 0.327 0.044 5.81035511607342e-39 "2" "CAV1"
"PTRF" 3.79156817614292e-43 0.796560691366374 0.403 0.072 7.39393710029632e-39 "2" "PTRF"
"ADGRL2" 4.46401004736637e-43 0.773306653503196 0.28 0.028 8.70526599336916e-39 "2" "ADGRL2"
"VIM" 7.06230187566549e-43 0.90021381902183 0.698 0.249 1.37721948877353e-38 "2" "VIM"
"CD200" 7.96597024428265e-43 0.73703268656483 0.418 0.081 1.55344385733756e-38 "2" "CD200"
"PRKCDBP" 1.66622319516556e-42 0.838896915085033 0.365 0.061 3.24930185289235e-38 "2" "PRKCDBP"
"UBXN2A" 2.72538237546968e-42 0.76152326996365 0.522 0.136 5.31476817040342e-38 "2" "UBXN2A"
"SERPINB6B" 2.90139404691805e-42 0.742816136323333 0.264 0.024 5.65800853089489e-38 "2" "SERPINB6B"
"ARPC3" 4.41501735838526e-42 0.907581282519868 0.623 0.22 8.60972535058709e-38 "2" "ARPC3"
"FGD5" 5.84598905077585e-42 0.610392242310066 0.214 0.012 1.1400263247918e-37 "2" "FGD5"
"4931406P16RIK" 7.93180445636246e-42 0.850770960946003 0.44 0.097 1.54678118703524e-37 "2" "4931406P16RIK"
"STAP2" 8.19522819509089e-42 0.563332337639633 0.195 0.008 1.59815145032467e-37 "2" "STAP2"
"TSHZ2" 1.58795365488387e-41 0.828338114077845 0.343 0.052 3.09666842238904e-37 "2" "TSHZ2"
"ACTB" 2.25739398383451e-41 0.646461996761644 0.997 0.835 4.40214400787568e-37 "2" "ACTB"
"GNG5" 2.52446501616107e-41 0.946461355177259 0.623 0.22 4.92295922801571e-37 "2" "GNG5"
"IQGAP1" 3.08950381782239e-41 0.825990170103465 0.597 0.181 6.02484139513545e-37 "2" "IQGAP1"
"PSMA7" 3.65577955593195e-41 0.781540051401917 0.871 0.503 7.1291357120229e-37 "2" "PSMA7"
"RP23.381H23.2" 5.75186290717603e-41 0.607758929916542 0.198 0.01 1.1216707855284e-36 "2" "RP23.381H23.2"
"EFNA1" 6.10091946687143e-41 0.555551318341745 0.211 0.012 1.1897403052346e-36 "2" "EFNA1"
"FZD6" 1.8968752836708e-40 0.593511278224304 0.258 0.025 3.69909649068644e-36 "2" "FZD6"
"ST8SIA4" 2.31035480996215e-40 0.78501934538391 0.33 0.049 4.50542291490718e-36 "2" "ST8SIA4"
"KCTD12B" 2.8552287880592e-40 0.723054090912947 0.27 0.029 5.56798165959424e-36 "2" "KCTD12B"
"SLFN5" 5.2312937988984e-40 0.894203054168084 0.509 0.135 1.02015460372318e-35 "2" "SLFN5"
"GM11478" 8.1769247193682e-40 0.85828016911872 0.764 0.315 1.59458208952399e-35 "2" "GM11478"
"POP5" 9.79136787905571e-40 0.821461400336785 0.399 0.079 1.90941465009465e-35 "2" "POP5"
"GM11966" 2.48607900487441e-39 0.94359263524308 0.626 0.216 4.84810266740558e-35 "2" "GM11966"
"GM6204" 2.72619948386941e-39 0.908479224384813 0.679 0.254 5.31636161349374e-35 "2" "GM6204"
"PODXL" 4.7439382371996e-39 0.651738678622755 0.264 0.029 9.25115395636294e-35 "2" "PODXL"
"GNAI2" 7.09323954680452e-39 0.724378440931838 0.836 0.447 1.38325264402235e-34 "2" "GNAI2"
"APOLD1" 7.31342918846967e-39 0.981599287245015 0.343 0.055 1.42619182604347e-34 "2" "APOLD1"
"RASSF9" 1.3209083193015e-38 0.666263296391278 0.242 0.022 2.57590331346986e-34 "2" "RASSF9"
